
Symbol table '.dynsym' contains 2370 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   113: 00000000000a1d70   113 FUNC    WEAK   DEFAULT   15 argz_add@@GLIBC_2.2.5
   114: 000000000011fc10    37 FUNC    GLOBAL DEFAULT   15 inotify_init1@@GLIBC_2.9
   115: 000000000012d1f0   878 FUNC    GLOBAL DEFAULT   15 __backtrace_symbols@@GLIBC_2.2.5
   116: 00000000000913f0    17 FUNC    GLOBAL DEFAULT   15 _IO_un_link@@GLIBC_2.2.5
   117: 000000000008bcd0    11 FUNC    WEAK   DEFAULT   15 vasprintf@@GLIBC_2.2.5
   118: 00000000000be070    20 FUNC    GLOBAL DEFAULT   15 __wcstod_internal@@GLIBC_2.2.5
   119: 000000000014f0a0   453 FUNC    GLOBAL DEFAULT   15 authunix_create@@GLIBC_2.2.5
   120: 00000000001228f0    95 FUNC    GLOBAL DEFAULT   15 _mcount@@GLIBC_2.2.5
   121: 000000000012f5e0    90 FUNC    GLOBAL DEFAULT   15 __wcstombs_chk@@GLIBC_2.4
   122: 00000000000bcd50   105 IFUNC   WEAK   DEFAULT   15 wmemcmp@@GLIBC_2.2.5
   123: 000000000013dc60   408 FUNC    GLOBAL DEFAULT   15 __netlink_assert_response@@GLIBC_PRIVATE
   124: 00000000000d02e0    17 FUNC    WEAK   DEFAULT   15 gmtime_r@@GLIBC_2.2.5
   125: 000000000010dbc0    37 FUNC    WEAK   DEFAULT   15 fchmod@@GLIBC_2.2.5
   126: 000000000012dfe0   200 FUNC    GLOBAL DEFAULT   15 __printf_chk@@GLIBC_2.3.4
   127: 000000000008c360   452 FUNC    WEAK   DEFAULT   15 obstack_vprintf@@GLIBC_2.2.5
   128: 0000000000043510   125 FUNC    WEAK   DEFAULT   15 sigwait@@GLIBC_2.2.5
   129: 00000000000dfbf0   202 FUNC    GLOBAL DEFAULT   15 setgrent@@GLIBC_2.2.5
   130: 000000000012f1d0   375 FUNC    GLOBAL DEFAULT   15 __fgetws_chk@@GLIBC_2.4
   131: 0000000000094770   439 FUNC    GLOBAL DEFAULT   15 __register_atfork@@GLIBC_2.3.2
   132: 0000000000123ba0    81 FUNC    WEAK   DEFAULT   15 iswctype_l@@GLIBC_2.3
   133: 00000000001232c0   133 FUNC    WEAK   DEFAULT   15 wctrans@@GLIBC_2.2.5
   134: 0000000000115160    37 FUNC    GLOBAL DEFAULT   15 acct@@GLIBC_2.2.5
   135: 0000000000046a70    32 FUNC    GLOBAL DEFAULT   15 exit@@GLIBC_2.2.5
   136: 000000000005b8d0    11 FUNC    GLOBAL DEFAULT   15 _IO_vfprintf@@GLIBC_2.2.5
   137: 00000000000e3530   430 FUNC    GLOBAL DEFAULT   15 execl@@GLIBC_2.2.5
   138: 00000000000fecc0    21 FUNC    WEAK   DEFAULT   15 re_set_syntax@@GLIBC_2.2.5
   139: 000000000012faf0     9 FUNC    GLOBAL DEFAULT   15 htonl@@GLIBC_2.2.5
   140: 000000000010afa0  4567 FUNC    GLOBAL DEFAULT   15 wordexp@@GLIBC_2.2.5
   141: 0000000000133140   222 FUNC    GLOBAL DEFAULT   15 endprotoent@@GLIBC_2.2.5
   142: 0000000000132c50   842 FUNC    GLOBAL DEFAULT   15 getprotobynumber_r@@GLIBC_2.2.5
   143: 00000000000cdf40    20 FUNC    GLOBAL DEFAULT   15 __wcstof128_internal@@GLIBC_2.26
   144: 0000000000041ea0    54 FUNC    WEAK   DEFAULT   15 isinf@@GLIBC_2.2.5
   145: 0000000000034080    17 FUNC    GLOBAL DEFAULT   15 __assert@@GLIBC_2.2.5
   146: 000000000008df10     8 FUNC    GLOBAL DEFAULT   15 clearerr_unlocked@@GLIBC_2.2.5
   147: 00000000000ebfa0  1045 FUNC    GLOBAL DEFAULT   15 fnmatch@@GLIBC_2.2.5
   148: 00000000000301a0   728 FUNC    GLOBAL DEFAULT   15 __gconv_create_spec@@GLIBC_PRIVATE
   149: 000000000014ade0    31 FUNC    GLOBAL DEFAULT   15 xdr_keybuf@@GLIBC_2.2.5
   150: 000000000011eea0    34 FUNC    WEAK   DEFAULT   15 gnu_dev_major@@GLIBC_2.3.3
   151: 00000000000343a0    23 FUNC    GLOBAL DEFAULT   15 __islower_l@@GLIBC_2.2.5
   152: 00000000000de320   285 FUNC    WEAK   DEFAULT   15 readdir@@GLIBC_2.2.5
   153: 0000000000157120    71 FUNC    GLOBAL DEFAULT   15 xdr_uint32_t@@GLIBC_2.2.5
   154: 000000000012fb00    11 FUNC    GLOBAL DEFAULT   15 htons@@GLIBC_2.2.5
   155: 00000000000e4980  1417 FUNC    WEAK   DEFAULT   15 pathconf@@GLIBC_2.2.5
   156: 0000000000044370   124 FUNC    GLOBAL DEFAULT   15 sigrelse@@GLIBC_2.2.5
   157: 0000000000048150    63 FUNC    WEAK   DEFAULT   15 seed48_r@@GLIBC_2.2.5
